RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,Home_values Average_2020,Home_values Average_2021,Home_values Average_2022,Home_values Average_2023,Rental_rates Average_2020,Rental_rates Average_2021,Rental_rates Average_2022,Rental_rates Average_2023
58196,7338,1001,zip,MA,MA,Agawam,"Springfield, MA","$272,653.97","$296,148.92","$313,621.32","$317,991.43",,,,
58197,3918,1002,zip,MA,MA,Amherst,"Springfield, MA","$411,932.83","$450,103.73","$484,243.33","$492,780.82",$nan,$nan,$nan,"$2,251.17"
58200,13464,1005,zip,MA,MA,Barre,"Worcester, MA-CT","$279,467.69","$313,288.21","$344,679.83","$354,591.55",,,,
58201,7622,1007,zip,MA,MA,Belchertown,"Springfield, MA","$335,314.39","$370,465.74","$403,472.14","$410,654.22",,,,
58202,22646,1008,zip,MA,MA,Blandford,"Springfield, MA","$263,439.46","$291,691.91","$316,809.51","$321,534.83",,,,
58204,14834,1010,zip,MA,MA,Brimfield,"Springfield, MA","$297,705.06","$336,189.52","$364,525.48","$367,702.62",,,,
58205,22830,1011,zip,MA,MA,Chester,"Springfield, MA","$197,647.43","$225,110.43","$251,894.40","$251,426.59",,,,
58206,27932,1012,zip,MA,MA,Chesterfield,"Springfield, MA","$280,300.75","$318,939.12","$352,688.03","$355,444.29",,,,
58207,5358,1013,zip,MA,MA,Chicopee,"Springfield, MA","$225,310.08","$249,715.46","$267,282.32","$272,910.64",,,,
58209,3613,1020,zip,MA,MA,Chicopee,"Springfield, MA","$237,195.19","$262,899.95","$280,446.05","$285,729.76",,,,
58212,23480,1026,zip,MA,MA,Cummington,"Springfield, MA","$274,684.41","$303,615.27","$331,621.19","$337,820.28",,,,
58213,6881,1027,zip,MA,MA,Easthampton,"Springfield, MA","$315,566.99","$342,618.61","$372,059.27","$383,642.89",,,,
58214,7251,1028,zip,MA,MA,East Longmeadow,"Springfield, MA","$307,240.72","$336,117.84","$361,801.69","$367,126.63",,,,
58216,8608,1030,zip,MA,MA,Agawam,"Springfield, MA","$293,781.68","$319,412.78","$339,601.23","$346,064.66",,,,
58217,26423,1031,zip,MA,MA,Hardwick,"Worcester, MA-CT","$264,379.12","$297,777.33","$331,754.42","$340,737.20",,,,
58218,28216,1032,zip,MA,MA,Goshen,"Springfield, MA","$283,991.63","$314,932.66","$343,990.16","$356,242.38",,,,
58219,12406,1033,zip,MA,MA,Granby,"Springfield, MA","$294,589.56","$320,924.87","$347,218.95","$354,121.72",,,,
58220,18443,1034,zip,MA,MA,Granville,"Springfield, MA","$289,090.29","$320,509.56","$350,855.28","$357,400.64",,,,
58221,12895,1035,zip,MA,MA,Hadley,"Springfield, MA","$395,179.03","$428,738.03","$456,414.54","$466,789.98",,,,
58222,13372,1036,zip,MA,MA,Hampden,"Springfield, MA","$308,584.07","$338,481.25","$364,031.71","$373,101.46",,,,
58223,22913,1037,zip,MA,MA,Hardwick,"Worcester, MA-CT","$324,828.95","$364,685.37","$394,955.29","$401,325.96",,,,
58224,18287,1038,zip,MA,MA,Hatfield,"Springfield, MA","$368,110.08","$394,915.02","$418,228.37","$427,164.70",,,,
58225,18763,1039,zip,MA,MA,Williamsburg,"Springfield, MA","$327,357.89","$373,777.66","$418,439.36","$425,675.69",,,,
58226,2112,1040,zip,MA,MA,Holyoke,"Springfield, MA","$241,049.78","$267,164.74","$285,813.37","$289,660.97",,,,
58228,16931,1050,zip,MA,MA,Chester,"Springfield, MA","$232,353.55","$265,654.57","$294,193.47","$300,967.92",,,,
58229,19763,1053,zip,MA,MA,Northampton,"Springfield, MA","$385,559.21","$423,750.31","$452,459.28","$461,273.46",,,,
58230,19549,1054,zip,MA,MA,Leverett,"Springfield, MA","$337,604.62","$387,989.31","$429,724.20","$438,925.83",,,,
58231,5876,1056,zip,MA,MA,Ludlow,"Springfield, MA","$265,469.11","$293,032.73","$312,468.41","$319,030.99",,,,
58232,10824,1057,zip,MA,MA,Monson,"Springfield, MA","$273,181.64","$306,175.51","$330,893.62","$333,442.85",,,,
58234,7303,1060,zip,MA,MA,Northampton,"Springfield, MA","$421,910.95","$468,271.39","$502,791.50","$515,148.58",$nan,$nan,$nan,"$2,097.74"
58236,9527,1062,zip,MA,MA,Northampton,"Springfield, MA","$342,720.15","$375,725.68","$402,508.15","$414,135.84",,,,
58239,20300,1068,zip,MA,MA,Oakham,"Worcester, MA-CT","$347,236.21","$387,457.28","$420,425.41","$422,178.83",,,,
58240,9787,1069,zip,MA,MA,Palmer,"Springfield, MA","$232,156.61","$258,652.48","$281,909.04","$287,257.01",,,,
58241,26033,1070,zip,MA,MA,Plainfield,"Springfield, MA","$249,910.72","$279,790.04","$309,746.77","$306,535.88",,,,
58242,22294,1071,zip,MA,MA,Russell,"Springfield, MA","$249,091.14","$277,664.59","$304,705.11","$309,174.34",,,,
58243,21474,1072,zip,MA,MA,Shutesbury,"Springfield, MA","$292,067.13","$332,952.44","$361,712.01","$360,804.60",,,,
58244,12207,1073,zip,MA,MA,Southampton,"Springfield, MA","$364,811.57","$392,921.73","$425,168.87","$434,272.99",,,,
58246,6672,1075,zip,MA,MA,South Hadley,"Springfield, MA","$289,756.37","$315,421.44","$339,749.61","$347,568.23",,,,
58247,10166,1077,zip,MA,MA,Southwick,"Springfield, MA","$295,789.65","$328,264.93","$359,258.97","$364,433.54",,,,
58249,19155,1080,zip,MA,MA,Palmer,"Springfield, MA","$212,030.12","$235,969.11","$256,666.43","$260,936.99",,,,
58250,18575,1081,zip,MA,MA,Wales,"Springfield, MA","$222,706.14","$253,315.29","$280,509.10","$284,481.92",,,,
58251,9180,1082,zip,MA,MA,Ware,"Springfield, MA","$236,317.80","$271,002.88","$294,143.35","$297,813.53",,,,
58252,16586,1083,zip,MA,MA,Warren,"Worcester, MA-CT","$266,958.84","$299,927.39","$325,352.03","$325,184.84",,,,
58254,1651,1085,zip,MA,MA,Westfield,"Springfield, MA","$279,653.79","$306,982.58","$328,777.72","$332,090.75",$nan,$nan,$nan,"$1,767.57"
58256,24851,1088,zip,MA,MA,Hatfield,"Springfield, MA","$360,414.43","$390,647.03","$418,327.35","$428,221.00",,,,
58257,3986,1089,zip,MA,MA,West Springfield,"Springfield, MA","$261,173.37","$286,623.76","$309,156.19","$315,317.51",,,,
58259,21346,1092,zip,MA,MA,Warren,"Worcester, MA-CT","$250,322.65","$285,211.93","$310,084.26","$314,370.10",,,,
58260,30119,1093,zip,MA,MA,Whately,"Springfield, MA","$338,531.50","$380,392.34","$419,576.95","$428,118.34",,,,
58262,7818,1095,zip,MA,MA,Wilbraham,"Springfield, MA","$341,051.89","$375,257.44","$401,680.99","$407,976.72",,,,
58263,17917,1096,zip,MA,MA,Williamsburg,"Springfield, MA","$293,678.14","$328,959.43","$367,488.47","$375,600.89",,,,
58265,25315,1098,zip,MA,MA,Worthington,"Springfield, MA","$270,010.93","$301,047.40","$333,259.10","$343,237.54",,,,
58269,4790,1104,zip,MA,MA,Springfield,"Springfield, MA","$188,154.24","$218,937.94","$237,131.79","$240,435.98",,,,
58270,9070,1105,zip,MA,MA,Springfield,"Springfield, MA","$164,887.42","$199,213.35","$224,672.06","$231,680.35",,,,
58271,7398,1106,zip,MA,MA,Longmeadow,"Springfield, MA","$386,147.26","$423,668.79","$450,378.95","$462,645.49",$nan,$nan,$nan,"$2,500.00"
58272,9378,1107,zip,MA,MA,Springfield,"Springfield, MA","$202,060.37","$232,346.99","$252,760.97","$256,289.49",,,,
58273,4467,1108,zip,MA,MA,Springfield,"Springfield, MA","$202,071.24","$235,669.07","$257,488.80","$259,651.74",,,,
58274,3564,1109,zip,MA,MA,Springfield,"Springfield, MA","$177,348.20","$207,064.04","$227,315.71","$230,230.86",,,,
58279,8046,1118,zip,MA,MA,Springfield,"Springfield, MA","$225,155.68","$252,087.82","$271,010.89","$275,575.76",,,,
58280,8156,1119,zip,MA,MA,Springfield,"Springfield, MA","$211,806.98","$240,665.11","$260,765.19","$264,917.87",,,,
58281,15462,1128,zip,MA,MA,Springfield,"Springfield, MA","$241,618.39","$266,862.23","$283,606.60","$287,644.73",,,,
58282,11817,1129,zip,MA,MA,Springfield,"Springfield, MA","$234,312.32","$260,199.21","$278,561.15","$282,509.44",,,,
58287,9850,1151,zip,MA,MA,Springfield,"Springfield, MA","$196,188.52","$227,769.31","$246,519.79","$248,181.36",,,,
58291,1398,1201,zip,MA,MA,Pittsfield,"Pittsfield, MA","$206,887.90","$234,890.99","$263,213.47","$271,183.24",$nan,$nan,$nan,"$1,157.69"
58294,11638,1220,zip,MA,MA,Adams,"Pittsfield, MA","$176,095.84","$197,267.82","$221,453.18","$227,678.84",,,,
58295,26213,1222,zip,MA,MA,Sheffield,"Pittsfield, MA","$267,449.28","$317,307.14","$365,450.93","$373,459.80",,,,
58296,17303,1223,zip,MA,MA,Becket,"Pittsfield, MA","$238,889.42","$287,336.62","$329,997.30","$336,953.46",,,,
58297,39809,1224,zip,MA,MA,Lanesboro,"Pittsfield, MA","$203,551.13","$233,002.15","$268,582.58","$276,577.89",,,,
58298,15627,1225,zip,MA,MA,Cheshire,"Pittsfield, MA","$230,196.60","$265,305.78","$304,849.37","$313,433.01",,,,
58299,12094,1226,zip,MA,MA,Dalton,"Pittsfield, MA","$228,787.25","$259,838.50","$290,660.37","$298,759.37",,,,
58302,10632,1230,zip,MA,MA,Great Barrington,"Pittsfield, MA","$386,850.03","$477,902.63","$568,499.21","$584,819.54",,,,
58303,16852,1235,zip,MA,MA,Hinsdale,"Pittsfield, MA","$231,577.50","$271,417.33","$311,816.54","$318,680.12",,,,
58304,23563,1236,zip,MA,MA,Great Barrington,"Pittsfield, MA","$383,944.52","$452,475.41","$522,095.18","$535,598.82",,,,
58305,15247,1237,zip,MA,MA,Lanesboro,"Pittsfield, MA","$244,575.44","$288,765.70","$339,091.62","$349,384.41",,,,
58306,13007,1238,zip,MA,MA,Lee,"Pittsfield, MA","$267,982.95","$309,685.03","$350,730.60","$363,451.08",,,,
58307,13361,1240,zip,MA,MA,Lenox,"Pittsfield, MA","$408,021.69","$479,052.86","$558,546.04","$574,129.78",,,,
58309,29821,1243,zip,MA,MA,Middlefield,"Springfield, MA","$230,246.41","$263,824.61","$296,315.90","$295,355.48",,,,
58311,25653,1245,zip,MA,MA,Monterey,"Pittsfield, MA","$500,051.18","$588,093.78","$668,110.01","$677,795.49",,,,
58312,7240,1247,zip,MA,MA,North Adams,"Pittsfield, MA","$169,539.07","$195,166.34","$219,901.22","$224,996.28",,,,
58314,23791,1253,zip,MA,MA,Otis,"Pittsfield, MA","$312,139.75","$366,541.68","$418,723.58","$427,428.29",,,,
58315,22775,1254,zip,MA,MA,Richmond,"Pittsfield, MA","$403,128.47","$489,200.51","$566,013.24","$579,316.97",,,,
58316,24451,1255,zip,MA,MA,Sandisfield,"Pittsfield, MA","$286,647.89","$327,153.58","$381,650.22","$388,442.14",,,,
58317,25796,1256,zip,MA,MA,Savoy,"Pittsfield, MA","$210,594.86","$254,897.31","$290,683.39","$289,953.72",,,,
58318,18287,1257,zip,MA,MA,Sheffield,"Pittsfield, MA","$335,685.34","$408,154.90","$487,226.01","$499,652.13",,,,
58319,24317,1258,zip,MA,MA,Mount Washington,"Pittsfield, MA","$410,296.55","$504,090.95","$595,054.95","$613,303.17",,,,
58320,24988,1259,zip,MA,MA,New Marlborough,"Pittsfield, MA","$347,926.63","$411,779.99","$480,118.88","$487,117.67",,,,
58322,19647,1262,zip,MA,MA,Stockbridge,"Pittsfield, MA","$462,595.71","$563,362.47","$658,429.00","$675,196.39",,,,
