State or area,ZIP?Code,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,Number of OASDI beneficiaries aged 65 or older
Alabama,35004,"2,350","1,570",380,160,60,180,"3,463","2,526",231,"1,705"
Alabama,35005,"1,895","1,110",385,125,70,205,"2,533","1,665",170,"1,235"
Alabama,35006,955,530,220,85,40,80,"1,345",825,125,605
Alabama,35007,"4,965","3,445",715,260,130,415,"7,521","5,719",399,"3,645"
Alabama,35010,"5,700","3,565","1,275",295,80,485,"7,586","5,308",369,"3,725"
Alabama,35011,475,275,125,30,5,40,635,425,26,285
Alabama,35013,20,10,0,0,5,5,21,12,0,15
Alabama,35014,"1,120",685,275,70,15,75,"1,538","1,033",81,720
Alabama,35015,15,10,0,5,0,0,22,19,2,15
Alabama,35016,"4,405","2,865",800,335,100,305,"5,809","4,113",433,"3,075"
Alabama,35019,560,360,105,40,15,40,720,498,54,390
Alabama,35020,"6,010","3,250","1,515",470,80,695,"6,898","4,154",558,"3,505"
Alabama,35021,240,125,60,20,5,30,296,174,24,135
Alabama,35022,"5,365","3,615",915,350,130,355,"8,044","5,862",515,"3,855"
Alabama,35023,"6,090","3,815","1,120",415,185,555,"8,849","6,081",608,"4,175"
Alabama,35031,"2,025","1,235",405,140,65,180,"2,549","1,728",171,"1,345"
Alabama,35032,30,15,10,0,0,5,36,22,0,20
Alabama,35033,"1,025",665,185,75,40,60,"1,388",981,99,715
Alabama,35034,965,485,270,65,20,125,"1,127",665,63,530
Alabama,35035,355,220,80,25,10,20,490,325,31,235
Alabama,35036,55,30,10,10,0,5,59,35,10,30
Alabama,35038,20,15,5,0,0,0,23,15,0,15
Alabama,35040,"3,025","1,800",620,225,70,310,"4,257","2,828",325,"1,955"
Alabama,35042,"1,640",995,350,120,35,140,"2,090","1,391",145,"1,080"
Alabama,35043,"2,175","1,595",230,120,75,155,"3,512","2,760",190,"1,675"
Alabama,35044,"2,065","1,175",530,145,55,160,"2,769","1,800",183,"1,275"
Alabama,35045,"3,595","2,155",750,265,100,325,"4,687","3,127",341,"2,340"
